Id	SRR12237911	SRR12237910	SRR12237909	SRR12237908	SRR12237915	SRR12237914	SRR12237913	SRR12237912
ENSG00000010318.18	643	660	490	433	685	661	430	424
ENSG00000010319.5	877	748	229	297	5	5	10	12
ENSG00000010322.14	5975	5770	3763	3923	5532	5668	6469	6201
ENSG00000010327.9	23.014	19.0093	19.0095	29.0172	15.0045	17.0073	283.165	234.108
ENSG00000010361.12	77.4578	78.2757	354.481	362.773	2866.28	2804.45	839.395	924.37
ENSG00000010379.14	6	14	2	2	18	28	2	0
ENSG00000010404.16	3880.84	3821.7	3102.58	3294.3	11767.7	11313.5	3887.99	4047.02
ENSG00000010438.15	14.6311	15.4755	0	0	0	2	28	18
ENSG00000010539.10	1009.45	962.648	553.859	479.273	545.817	560.828	471.659	504.599
ENSG00000010610.8	2	4	71	67	3	7	2	1
ENSG00000010626.13	413	373	488	446	557	664	238	226
ENSG00000010671.14	1	3	1	1	73	81	25	20
ENSG00000010704.17	778.327	722.716	16.0444	22.952	27.397	32.0058	17.2894	20.4813
ENSG00000010803.15	5123.93	4839.11	2686.13	2773.19	1993.2	1921.58	4596.72	4917.6
ENSG00000010810.16	460	463	211	201	6727	7019	6106	5084
ENSG00000010818.7	1702	1646	1866	1803	4753	4539	1947	2161
ENSG00000010932.14	1.00022	1.00019	4.00051	5.00152	5.00256	7.00302	40.0076	30.0072
ENSG00000011007.11	5454.68	5094.7	8559.5	8099.91	9224.32	8892.31	3000.18	3109.71
ENSG00000011009.9	1672.49	1460.76	2589.11	2683.85	4178	4330.89	2111	1937
ENSG00000011021.20	2684.29	2478.97	815.032	884.823	1577.31	1728.15	2042.08	1984.52
ENSG00000011028.12	92	65	126	158.879	3538.87	3414.52	15	46
ENSG00000011052.20	10757.2	10050.2	9154.26	9395.34	6643.29	6571.77	3392.97	3602.1
ENSG00000011083.7	0	0	8	14	0	1	0	0
ENSG00000011105.10	3754	3459	82	118	904	968	14	18
ENSG00000011114.13	3068.69	2848.57	2202.43	2377.36	5374.06	5012.67	3297.65	4123.81
ENSG00000011132.10	445.577	451.209	340.861	330.794	742.186	626.84	640.487	592.026
ENSG00000011143.15	1668	1572	1353	1335	1401	1471	1370	1212
ENSG00000011198.6	2469	2192	1039	905	1183	1118	1147	1315
ENSG00000011201.9	443	358	115	124.683	2879.69	2674.4	1443	1396
ENSG00000011243.16	3371.39	3060.97	3166.76	3213.47	3779.26	3715.54	6220.76	6503.62
ENSG00000011258.14	1425.17	1291.37	2023	2021	1729	1781	2329	2260
ENSG00000011260.12	4238	3778	3331.99	3273.99	5166	4859	4121.97	4757.97
ENSG00000011275.17	3868.68	3770.65	4175.47	4163.64	6348.6	6097.3	3063.63	3022.35
ENSG00000011295.14	5886.19	5348.92	3120.23	3379.3	2038.17	2159.73	3769.33	3701.73
