id	SRR925687	SRR925688	SRR925697	SRR925703	SRR925714	SRR925716	SRR925720	SRR925721	SRR925726	SRR934634	SRR934636
ENSG00000006744.17	67.63	43.43	100.2	54.97	38.96	128.12	71.96	72.87	91.43	142.14	92.92
ENSG00000006747.13	0	0	0	0	0.23	0.07	0.14	0.11	2.17	0	0
ENSG00000006756.14	15.22	0	0	0.19	5.38	2.34	7.55	9	4.71	5	10.25
ENSG00000006757.10	53.09	28.93	7.7	14.02	5.24	6.31	26.55	28.04	14.72	36.85	0
ENSG00000006788.11	0	0	0.01	0	0	0.23	0	0	0	0	0
ENSG00000006831.9	34.91	18.59	21.98	33.26	35.45	16.14	26.68	22.49	29.71	9.58	4.12
ENSG00000006837.10	0.97	0.64	0.29	0.8	0.88	0.15	0.19	0.14	0.11	0	0.31
ENSG00000007001.11	0	0	0	0	0.02	0	0	0	0	0	0
ENSG00000007038.9	14.42	0	0	0.11	0	69.44	14.17	35.11	0	0	0.16
ENSG00000007047.13	24.27	12.85	17.2	15.5	36.01	16.54	18.98	19.83	9.89	14.24	33.78
ENSG00000007062.10	0	0.2	0	0	0.28	0.03	0	0.02	0	0	0
ENSG00000007080.9	118.72	87.34	115.33	79.79	40.31	218.51	131.17	139.2	141.89	185.91	338.1
ENSG00000007129.16	0	0	0	0.08	0	0	0	0	0	0	0
ENSG00000007168.11	49.91	50.09	98.78	106.1	65.06	70.64	60.53	78.8	61.97	52.83	15.47
ENSG00000007171.15	0	0	0	0.44	1.38	0	0	0	0	0	0.03
ENSG00000007174.16	0.02	0.23	0	0.31	0.03	0	0.14	0	0	0.7	0
ENSG00000007202.13	34.55	30.37	33.36	35.92	79.02	40.14	44.72	37.15	77.5	76.4	70.3
ENSG00000007216.13	0	0.9	0	0.06	0	0.03	0	0	0	0	0
